Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71622005498,1.17681E+11,2.61228E+11,2.71089E+11,3.69383E+11,5.05827E+11,4.35481E+11,4.79367E+11,5.2458E+11,4.52696E+11,5.37139E+11,5.04159E+11,,,
Africa Western and Central,AFW,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3374521503,20010727422,57193227496,1.40549E+11,3.44239E+11,3.17673E+11,6.71073E+11,8.01229E+11,1.04247E+12,1.48715E+12,1.42225E+12,1.97541E+12,2.80074E+12,2.86673E+12,3.72221E+12,4.00601E+12,2.90429E+12,2.8981E+12,3.37796E+12,3.99989E+12,5.06062E+12,
Albania,ALB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57427000000,70476869000,84761692000,1.15583E+11,,,,1.51597E+11,1.55211E+11,1.68141E+11,,,,,,,2.99288E+11,3.06648E+11,3.26183E+11,3.40213E+11,3.50633E+11,3.52758E+11,3.70102E+11,3.80815E+11,3.91687E+11,
Andorra,AND,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17521000000,18200000000,19228000000,,,,,,,,,,,,53129057490,58444661620,57465244938,57670465806,56404645750,58559786520,57586165410,61451443059,65383483655,
Argentina,ARG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7116500000,20270600000,26745800000,33777300000,38360600000,40023900000,41273000000,43970500000,45137600000,47472200000,47839700000,45657900000,61506900000,74570306476,81869697588,,,,,,,,,,1.12507E+12,1.48913E+12,2.15413E+12,2.58857E+12,3.34527E+12,4.75072E+12,
Armenia,ARM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23511E+11,4.07003E+11,4.55489E+11,5.36714E+11,7.54312E+11,7.49658E+11,7.95755E+11,8.52607E+11,9.11898E+11,1.03127E+12,1.15827E+12,1.26484E+12,1.30288E+12,1.25923E+12,1.32837E+12,1.42373E+12,
American Samoa,ASM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,8045000000,9198000000,10952000000,15159000000,19710000000,22724000000,25741000000,28146000000,31452000000,35897000000,40963000000,48442000000,56568000000,62228000000,68157000000,73575000000,78538000000,81699000000,88289000000,96214000000,1.03435E+11,1.10919E+11,1.17084E+11,1.25875E+11,1.29932E+11,1.32517E+11,1.25668E+11,1.52355E+11,1.59233E+11,1.85185E+11,1.99377E+11,2.06436E+11,2.21256E+11,2.36492E+11,2.48888E+11,2.66234E+11,2.86916E+11,3.33861E+11,3.48319E+11,3.68777E+11,3.91978E+11,3.97847E+11,4.19947E+11,4.34695E+11,4.47373E+11,4.68131E+11,4.83138E+11,5.09718E+11,
Austria,AUT,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,9603715035,11596404148,13338371983,15772911928,17708916230,19448703880,22167394606,23935524662,25825745078,28417985073,30923017667,33343023045,35297195555,37113289681,39858869356,42047048393,44472140869,45757723305,48955328009,53150003997,57170265183,62370006468,65343052114,86040960000,88967970000,89686820000,92775730000,96031430000,98822450000,1.02799E+11,1.04237E+11,1.06741E+11,1.17798E+11,1.16652E+11,1.21025E+11,1.24888E+11,1.30942E+11,1.37824E+11,1.37375E+11,1.41132E+11,1.47043E+11,1.51012E+11,1.58248E+11,1.59288E+11,1.60912E+11,1.63738E+11,1.68389E+11,1.72912E+11,
Azerbaijan,AZE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128138600,423067800,431967800,512319600,645726600,717629200,,,,,,,,,7428500000,8216400000,8863500000,9623900000,12145100000,12174900000,13042700000,13480100000,16433200000,19665556000,17141500000,19887950000,
Burundi,BDI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,11923000000,,,,,,,,,,48791000000,62473000000,64391000000,58858000000,59037000000,59765000000,,88357300000,94029300000,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95925800000,98438400000,1.00168E+11,1.03334E+11,1.06162E+11,1.09306E+11,1.13762E+11,1.13247E+11,1.19669E+11,1.21396E+11,1.34962E+11,1.3199E+11,1.38456E+11,1.48089E+11,1.5383E+11,1.58255E+11,1.68588E+11,1.77305E+11,1.78926E+11,1.82045E+11,1.73325E+11,1.76364E+11,1.77811E+11,1.83393E+11,1.8862E+11,
Benin,BEN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49878E+11,2.55847E+11,2.9265E+11,3.30694E+11,3.85677E+11,4.49415E+11,4.53634E+11,4.99075E+11,5.29961E+11,6.28254E+11,8.28666E+11,8.18972E+11,8.86632E+11,9.23206E+11,1.1187E+12,1.51455E+12,1.53316E+12,1.71131E+12,
Bangladesh,BGD,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28781E+11,2.47877E+11,2.72945E+11,2.91494E+11,3.47751E+11,4.02025E+11,4.7628E+11,5.92771E+11,6.96018E+11,7.39019E+11,9.01531E+11,1.01706E+12,1.13983E+12,1.27709E+12,1.36511E+12,1.63217E+12,,,,
Bulgaria,BGR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24291000,53429000,79414000,130570000,229767000,,,,,,,,,,,14797604000,15892784000,20842030000,23214949000,24779268000,23706513000,24232376000,25570169000,27259443000,31976230000,31015241000,30711862000,32943983000,35875394000,40344412000,
Bahrain,BHR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,49700000,79100000,108100000,150900000,205600000,202700000,247700000,286800000,361900000,416500000,426200000,420600000,419000000,350800000,380800000,403100000,431300000,439800000,477200000,521900000,545200000,534200000,527100000,560900000,578100000,622100000,706900000,733700000,870500000,907800000,997600000,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525900000,543300000,562200000,539000000,558500000,595600000,658900000,711681000,731807000,793700000,828600000,867000000,922700000,999000000,1021297000,1117166000,1185862000,1260136000,1344984000,1421765000,1554082284,1667595690,1753318281,1702222984,1759590327,1902181502,2125147496,2456838826,2228551000,2452787000,
Bosnia and Herzegovina,BIH,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757059240,6818055884,8133827300,9654217923,9875898631,9933764183,9998994544,10235423709,10006030874,10928784860,10552758090,10562831441,10777920420,11709689168,12185527447,
Belarus,BLR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910,35820,532740,3489330,5318440,9983060,18189020,81881560,231452000,461462000,645051000,1031596011,1463253800,1968329400,2569319698,3367533810,4406444533,4514785700,5149342317,7819170000,15126500000,18950100000,22087100390,25274096426,27931198410,31007069922,34449851839,38517681615,
Belize,BLZ,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137330000,150770000,188768000,220970000,245139000,231281000,239929000,252744000,264898000,291251000,297371000,338080000,352235000,424033000,537994000,548723000,620744000,612281000,633841000,669019000,689824000,729103000,702572026.1,767816086.2,831322724.3,904290259.2,952797423.7,1012632212,,,
Bermuda,BMU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,911000000,1087100000,1262000000,1658400000,2191700000,2779600000,3866100000,4984100000,5244300000,5707800000,7069000000,8199200000,9212900000,9874000000,10673200000,13041420000,16315688264,17461782696,18946100000,20013216364,21962623252,22467377442,,,,,,,,,,,,,
Brazil,BRA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19301E+12,1.37009E+12,1.48266E+12,1.64409E+12,1.85328E+12,2.21391E+12,2.28778E+12,2.38709E+12,2.48327E+12,2.57284E+12,
Barbados,BRB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732120000,1777000000,2146850287,2268689957,2734966561,2956990389,3035555520,3112335695,3006152565,3274721140,3322374972,3142013878,3327973412,3267460950,,,,
Brunei Darussalam,BRN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,213000000,229100000,307100000,441500000,422600000,,837700000,916500000,1079100000,1117300000,1182900000,1272000000,1653500000,1981100000,2616400000,2607700000,2675000000,3264600000,3786500000,4537400000,4827088000,5373245000,5409249000,7134193000,7849160000,9092154000,12352540000,14257030000,15734872000,18569342000,19915374000,21225505000,21715387355,25138919000,27902997000,29734935027,34168365158,,
Botswana,BWA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881680000,2219100000,2668000000,3289000000,3324900000,4016100000,4667300000,,,,,,,,,,16963980000,20206620000,26190570000,28362430000,28774120000,30778690000,33493340000,35343960000,40453490000,42819550000,44033070000,46919370000,50492270800,51812653772,
Central African Republic,CAF,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64826057946,,,,97850592085,1.54244E+11,1.73192E+11,1.54688E+11,1.04889E+11,,77390768917,93306810411,97567295289,1.0441E+11,1.24885E+11,,
Canada,CAN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67618E+11,1.78014E+11,1.83444E+11,1.87768E+11,1.88086E+11,1.94852E+11,1.92131E+11,1.84744E+11,1.89748E+11,1.99125E+11,2.07658E+11,2.14154E+11,2.14423E+11,2.26322E+11,2.30625E+11,2.53381E+11,2.54832E+11,2.67615E+11,2.83078E+11,2.96262E+11,3.1796E+11,3.16675E+11,3.20081E+11,3.24997E+11,3.27204E+11,3.39565E+11,3.5444E+11,3.76894E+11,3.9197E+11,4.18472E+11,
Central Europe and the Baltics,CEB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,15623000000,19425000000,22159000000,25603000000,29076000000,30302000000,30984000000,32573000000,34209000000,35270000000,39080000000,41261000000,44321000000,,,,,,51807133365,58165351744,64508843975,70712590768,72856484516,73505088135,76931208534,79257055034,81492911499,85975347170,87333633836,84757895692,93942181874,89458910936,91287526671,92852622373,93548191335,96343659878,97310332707,1.02003E+11,1.04385E+11,1.0575E+11,1.06332E+11,1.09925E+11,1.11333E+11,1.14023E+11,1.16881E+11,1.17828E+11,1.18576E+11,1.2067E+11,
Channel Islands,CHI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,80000000,320000000,2310000000,10370000000,34640000000,81840000000,1.3648E+11,1.9601E+11,2.7415E+11,3.4256E+11,3.962E+11,4.6621E+11,5.7425E+11,7.3295E+11,8.761E+11,1.02984E+12,1.22821E+12,1.41285E+12,1.69828E+12,2.26308E+12,2.76547E+12,3.30715E+12,3.82821E+12,4.40742E+12,5.09829E+12,5.70298E+12,6.50152E+12,7.19774E+12,8.50155E+12,9.10775E+12,9.73065E+12,1.02286E+13,1.09963E+13,1.1784E+13,1.296E+13,1.44628E+13,1.7282E+13,2.04885E+13,2.23862E+13,2.36876E+13,2.5897E+13,2.77314E+13,3.05893E+13,3.43178E+13,3.73423E+13,4.0072E+13,4.28464E+13,4.53354E+13,
China,CHN,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02117E+12,1.13756E+12,1.2717E+12,1.2531E+12,1.3343E+12,1.2881E+12,1.4676E+12,1.6749E+12,1.66996E+12,1.83671E+12,1.66172E+12,2.09838E+12,2.09727E+12,2.22266E+12,3.64436E+12,3.84407E+12,4.55765E+12,4.79044E+12,4.82114E+12,
Cameroon,CMR,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8806E+11,5.2805E+11,4.7704E+11,4.5362E+11,4.4794E+11,4.8094E+11,,,6.746E+11,7.406E+11,,,,,,,,,,,,,1.96339E+12,2.15485E+12,2.3105E+12,2.3654E+12,2.3846E+12,2.2066E+12,2.52394E+12,,
"Congo, Dem. Rep.",COD,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,0.00125,0.001523333,0.002186667,0.00204,0.003356667,0.003583333,0.004303333,0.008556667,0.01373,0.02083,0.028826667,,,,,,0.98024,1.318703333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.406E+11,5.641E+11,3.97117E+11,7.04116E+11,7.52173E+11,7.49073E+11,7.76565E+11,7.95157E+11,6.34681E+11,6.99956E+11,7.5079E+11,1.05279E+12,9.64765E+11,1.1294E+12,1.09508E+12,1.07008E+12,1.10221E+12,1.39721E+12,,
Colombia,COL,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71366E+13,3.35265E+13,3.53109E+13,,,7.52279E+13,,,,,1.17082E+14,1.2404E+14,1.38215E+14,1.49957E+14,1.66847E+14,2.37687E+14,2.30111E+14,2.15784E+14,2.47308E+14,2.53175E+14,2.99567E+14,3.27894E+14,
Comoros,COM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26064840199,28835337364,30285487701,30891300375,34370985538,35466927113,38748308701,37774562791,38440926586,40914763615,45177064305,46659799394,49202640490,,,
Costa Rica,CRI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,1580000000,1990000000,2740000000,3380000000,4250000000,6200000000,7360000000,8940000000,10330000000,16210000000,27120000000,32640000000,38610000000,59810000000,72730000000,81190000000,1.0375E+11,1.2679E+11,1.6227E+11,2.0483E+11,2.6381E+11,3.7887E+11,4.4803E+11,5.4558E+11,6.2775E+11,7.4126E+11,9.0095E+11,1.01953E+12,1.19576E+12,1.46718E+12,1.6265E+12,1.83585E+12,2.16885E+12,2.50862E+12,2.93904E+12,3.51231E+12,4.36159E+12,5.07201E+12,5.48773E+12,6.16261E+12,6.7522E+12,7.4864E+12,8.61556E+12,8.70224E+12,8.72216E+12,1.04152E+13,1.12128E+13,
Caribbean small states,CSS,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,79347450.94,106069977.5,125530947.9,132672901.9,147657336.6,168758564.4,205476409.3,242125910.3,318397878.6,385101678.9,468481429.2,593192248.4,609116413.9,688839757.1,691197627.1,832601482.4,944719909,1059486668,2200874508,2374019311,2687846091,2807917677,3179546971,3586183565,3885017957,4273212205,4941617089,5219606543,5753715354,6355655642,6902066383,8166944030,8469366485,9370312025,9968493389,10676879547,11856156262,7288200000,7584300000,7962400000,8041100000,7636700000,8538500000,7082100000,6878593000,7112302000,8410600000,8571200000,
Czech Republic,CZE,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69266E+11,4.19867E+11,7.54493E+11,6.86079E+11,6.91493E+11,7.75579E+11,7.84348E+11,8.01516E+11,9.46103E+11,9.95911E+11,1.08096E+12,1.06649E+12,1.09997E+12,1.15117E+12,1.24882E+12,1.29696E+12,1.38561E+12,1.397E+12,1.41912E+12,1.49691E+12,1.43897E+12,1.49804E+12,1.53832E+12,1.57508E+12,1.62559E+12,1.74285E+12,1.88428E+12,
Germany,DEU,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,98577074695,1.12065E+11,1.30763E+11,1.51097E+11,1.64887E+11,1.76227E+11,1.87884E+11,2.00304E+11,2.24196E+11,2.42066E+11,2.5448E+11,2.61521E+11,2.76404E+11,2.84094E+11,2.94427E+11,3.07286E+11,3.21408E+11,3.30254E+11,3.61294E+11,4.92956E+11,5.32859E+11,5.56896E+11,5.8351E+11,7.26119E+11,6.23503E+11,6.25464E+11,6.38616E+11,6.51256E+11,6.60424E+11,6.67825E+11,6.85328E+11,6.98317E+11,6.87595E+11,6.9781E+11,6.96253E+11,6.99926E+11,7.19957E+11,7.59303E+11,8.04368E+11,7.77765E+11,7.82245E+11,8.02528E+11,8.21208E+11,8.46973E+11,8.74684E+11,9.17308E+11,9.3958E+11,9.83928E+11,
Djibouti,DJI,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Expense (current LCU),GC.XPN.TOTL.CN,,,,,,,,,,,,,46947000000,49844000000,62815000000,72155000000,80773000000,91009000000,1.04418E+11,1.21684E+11,1.4423E+11,1.67713E+11,1.97084E+11,2.1995E+11,2.39726E+11,2.48839E+11,2.50395E+11,2.61872E+11,2.84012E+11,3.02704E+11,3.1659E+11,3.25856E+11,3.46829E+11,3.74064E+11,4.04343E+11,4.38683E+11,4.45984E+11,4.50766E+11,4.62246E+11,4.73961E+11,4.88216E+11,5.02328E+11,5.16702E+11,5.32768E+11,5.54391E+11,5.53506E+11,5.58994E+11,6.27145E+11,6.62238E+11,7.22308E+11,7.65453E+11,7.82813E+11,8.24775E+11,7.99152E+11,8.1051E+11,8.23588E+11,8.09053E+11,8.11881E+11,8.29202E+11,8.33209E+11,
